"","quarter","gdp","unrate","cpi"
"1","1948-03-01",266.173,4,23.5
"2","1948-06-01",272.897,3.6,24.15
"3","1948-09-01",279.497,3.8,24.36
"4","1948-12-01",280.656,4,24.05
"5","1949-03-01",275.37,5,23.91
"6","1949-06-01",271.692,6.2,23.92
"7","1949-09-01",273.262,6.6,23.75
"8","1949-12-01",270.984,6.6,23.61
"9","1950-03-01",281.209,6.3,23.64
"10","1950-06-01",290.735,5.4,23.88
"11","1950-09-01",308.51,4.4,24.34
"12","1950-12-01",320.32,4.3,24.98
"13","1951-03-01",336.372,3.4,25.88
"14","1951-06-01",344.455,3.2,25.93
"15","1951-09-01",351.774,3.3,26.03
"16","1951-12-01",356.579,3.1,26.47
"17","1952-03-01",360.195,2.9,26.39
"18","1952-06-01",361.414,3,26.53
"19","1952-09-01",368.084,3.1,26.63
"20","1952-12-01",381.241,2.7,26.71
"21","1953-03-01",388.472,2.6,26.63
"22","1953-06-01",392.259,2.5,26.77
"23","1953-09-01",391.696,2.9,26.89
"24","1953-12-01",386.521,4.5,26.87
"25","1954-03-01",385.924,5.7,26.93
"26","1954-06-01",386.716,5.6,26.94
"27","1954-09-01",391.596,6.1,26.81
"28","1954-12-01",400.348,5,26.77
"29","1955-03-01",413.753,4.6,26.79
"30","1955-06-01",422.226,4.2,26.71
"31","1955-09-01",430.925,4.1,26.85
"32","1955-12-01",437.787,4.2,26.87
"33","1956-03-01",440.491,4.2,26.89
"34","1956-06-01",446.771,4.3,27.15
"35","1956-09-01",451.983,3.9,27.35
"36","1956-12-01",461.278,4.2,27.63
"37","1957-03-01",470.578,3.7,27.86
"38","1957-06-01",472.835,4.3,28.11
"39","1957-09-01",480.315,4.4,28.32
"40","1957-12-01",475.681,5.2,28.47
"41","1958-03-01",468.353,6.7,28.87
"42","1958-06-01",472.786,7.3,28.91
"43","1958-09-01",486.653,7.1,28.91
"44","1958-12-01",500.38,6.2,28.97
"45","1959-03-01",511.063,5.6,28.97
"46","1959-06-01",524.241,5,29.11
"47","1959-09-01",525.196,5.5,29.25
"48","1959-12-01",529.322,5.3,29.41
"49","1960-03-01",543.347,5.4,29.41
"50","1960-06-01",542.697,5.4,29.61
"51","1960-09-01",546.012,5.5,29.61
"52","1960-12-01",541.063,6.6,29.81
"53","1961-03-01",545.949,6.9,29.84
"54","1961-06-01",557.43,6.9,29.84
"55","1961-09-01",568.228,6.7,29.98
"56","1961-12-01",581.624,6,30.01
"57","1962-03-01",595.176,5.6,30.17
"58","1962-06-01",602.58,5.5,30.21
"59","1962-09-01",609.575,5.6,30.42
"60","1962-12-01",613.132,5.5,30.38
"61","1963-03-01",622.679,5.7,30.51
"62","1963-06-01",631.835,5.6,30.61
"63","1963-09-01",644.96,5.5,30.72
"64","1963-12-01",654.84,5.5,30.88
"65","1964-03-01",671.149,5.4,30.94
"66","1964-06-01",680.757,5.2,31.01
"67","1964-09-01",692.807,5.1,31.08
"68","1964-12-01",698.424,5,31.25
"69","1965-03-01",719.248,4.7,31.31
"70","1965-06-01",732.369,4.6,31.61
"71","1965-09-01",750.184,4.3,31.62
"72","1965-12-01",773.104,4,31.85
"73","1966-03-01",797.328,3.8,32.18
"74","1966-06-01",807.153,3.8,32.38
"75","1966-09-01",820.798,3.7,32.75
"76","1966-12-01",834.864,3.8,32.92
