quarter gdp unrate cpi 
1948-03-01   266.173  4.0  23.500
1948-06-01   272.897  3.6  24.150
1948-09-01   279.497  3.8  24.360
1948-12-01   280.656  4.0  24.050
1949-03-01   275.370  5.0  23.910
1949-06-01   271.692  6.2  23.920
1949-09-01   273.262  6.6  23.750
1949-12-01   270.984  6.6  23.610
1950-03-01   281.209  6.3  23.640
1950-06-01   290.735  5.4  23.880
1950-09-01   308.510  4.4  24.340
1950-12-01   320.320  4.3  24.980
1951-03-01   336.372  3.4  25.880
1951-06-01   344.455  3.2  25.930
1951-09-01   351.774  3.3  26.030
1951-12-01   356.579  3.1  26.470
1952-03-01   360.195  2.9  26.390
1952-06-01   361.414  3.0  26.530
1952-09-01   368.084  3.1  26.630
1952-12-01   381.241  2.7  26.710
1953-03-01   388.472  2.6  26.630
1953-06-01   392.259  2.5  26.770
1953-09-01   391.696  2.9  26.890
1953-12-01   386.521  4.5  26.870
1954-03-01   385.924  5.7  26.930
1954-06-01   386.716  5.6  26.940
1954-09-01   391.596  6.1  26.810
1954-12-01   400.348  5.0  26.770
1955-03-01   413.753  4.6  26.790
1955-06-01   422.226  4.2  26.710
1955-09-01   430.925  4.1  26.850
1955-12-01   437.787  4.2  26.870
1956-03-01   440.491  4.2  26.890
1956-06-01   446.771  4.3  27.150
1956-09-01   451.983  3.9  27.350
1956-12-01   461.278  4.2  27.630
1957-03-01   470.578  3.7  27.860
1957-06-01   472.835  4.3  28.110
1957-09-01   480.315  4.4  28.320
1957-12-01   475.681  5.2  28.470
1958-03-01   468.353  6.7  28.870
1958-06-01   472.786  7.3  28.910
1958-09-01   486.653  7.1  28.910
1958-12-01   500.380  6.2  28.970
1959-03-01   511.063  5.6  28.970
1959-06-01   524.241  5.0  29.110
1959-09-01   525.196  5.5  29.250
1959-12-01   529.322  5.3  29.410
1960-03-01   543.347  5.4  29.410
1960-06-01   542.697  5.4  29.610
1960-09-01   546.012  5.5  29.610
1960-12-01   541.063  6.6  29.810
1961-03-01   545.949  6.9  29.840
1961-06-01   557.430  6.9  29.840
1961-09-01   568.228  6.7  29.980
1961-12-01   581.624  6.0  30.010
1962-03-01   595.176  5.6  30.170
1962-06-01   602.580  5.5  30.210
1962-09-01   609.575  5.6  30.420
1962-12-01   613.132  5.5  30.380
1963-03-01   622.679  5.7  30.510
1963-06-01   631.835  5.6  30.610
1963-09-01   644.960  5.5  30.720
1963-12-01   654.840  5.5  30.880
1964-03-01   671.149  5.4  30.940
1964-06-01   680.757  5.2  31.010
1964-09-01   692.807  5.1  31.080
1964-12-01   698.424  5.0  31.250
1965-03-01   719.248  4.7  31.310
1965-06-01   732.369  4.6  31.610
1965-09-01   750.184  4.3  31.620
1965-12-01   773.104  4.0  31.850
1966-03-01   797.328  3.8  32.180
1966-06-01   807.153  3.8  32.380
1966-09-01   820.798  3.7  32.750
1966-12-01   834.864  3.8  32.920
1967-03-01   846.046  3.8  33.000
1967-06-01   851.058  3.9  33.300
1967-09-01   866.614  3.8  33.600
1967-12-01   883.201  3.8  34.000
1968-03-01   911.135  3.7  34.300
1968-06-01   936.297  3.7  34.700
1968-09-01   952.347  3.4  35.100
1968-12-01   970.129  3.4  35.600
1969-03-01   995.419  3.4  36.100
1969-06-01  1011.361  3.5  36.600
1969-09-01  1032.016  3.7  37.100
1969-12-01  1040.741  3.5  37.700
1970-03-01  1053.528  4.4  38.300
1970-06-01  1070.110  4.9  38.800
1970-09-01  1088.461  5.4  39.200
1970-12-01  1091.462  6.1  39.800
1971-03-01  1137.812  6.0  40.000
1971-06-01  1159.355  5.9  40.500
1971-09-01  1180.313  6.0  40.800
1971-12-01  1193.585  6.0  41.100
1972-03-01  1233.807  5.8  41.400
1972-06-01  1270.122  5.7  41.700
1972-09-01  1293.837  5.5  42.100
1972-12-01  1332.023  5.2  42.500
1973-03-01  1380.680  4.9  43.400
1973-06-01  1417.595  4.9  44.200
1973-09-01  1436.813  4.8  45.200
1973-12-01  1479.069  4.9  46.300
1974-03-01  1494.654  5.1  47.800
1974-06-01  1534.220  5.4  49.000
1974-09-01  1563.396  5.9  50.600
1974-12-01  1603.004  7.2  51.900
1975-03-01  1619.553  8.6  52.800
1975-06-01  1656.448  8.8  53.500
1975-09-01  1713.812  8.4  54.600
1975-12-01  1765.867  8.2  55.600
1976-03-01  1824.509  7.6  56.000
1976-06-01  1856.944  7.6  56.700
1976-09-01  1890.500  7.6  57.600
1976-12-01  1938.413  7.8  58.400
1977-03-01  1992.534  7.4  59.600
1977-06-01  2060.165  7.2  60.500
1977-09-01  2122.387  6.8  61.300
1977-12-01  2168.716  6.4  62.300
1978-03-01  2208.688  6.3  63.400
1978-06-01  2336.563  5.9  65.000
1978-09-01  2398.866  6.0  66.500
1978-12-01  2482.159  6.0  67.900
1979-03-01  2531.555  5.8  69.900
1979-06-01  2595.909  5.7  72.200
1979-09-01  2670.388  5.9  74.400
